1,2,3,4,5,6,7,8,9,y
1,-2.5435,2.6931,-1.4374,0.34571,-0.22782,0.81271,-1.0242,0.44904,one
1,-2.2269,2.1909,-1.0359,4.6243e-05,0.002812,0.5855,-0.72243,0.30305,one
1,-2.0513,1.6875,-0.45494,-0.27832,-0.10148,0.89007,-0.88757,0.31448,one
1,-2.6323,2.947,-2.313,1.916,-1.8888,1.9983,-1.4359,0.43847,one
1,-2.2278,2.1879,-1.2633,0.31575,-0.17004,0.55088,-0.46676,0.14329,one
1,-2.2156,1.6016,-0.13909,-0.49177,-0.32841,1.39,-0.93202,0.13406,one
1,-2.3142,1.7761,-0.10625,-0.79341,-8.5893e-05,1.3935,-1.2537,0.32158,one
1,-2.2565,2.0151,-1.0974,0.2644,-0.091061,0.40696,-0.086816,-0.13462,one
1,-0.50281,0.15144,-0.35195,0.004343,-0.23547,0.038046,-0.15194,0.12546,one
1,-2.1757,1.5681,-0.21194,-0.45577,-0.20483,1.2331,-0.83286,0.099831,one
1,-2.5662,2.5521,-1.6354,1.3153,-1.1451,0.8722,-0.54667,0.17053,one
1,-2.135,1.6522,-1.079,1.214,-0.75193,0.17321,-0.1758,0.14086,one
1,-1.9108,1.2682,-0.99423,1.2232,-0.52757,-0.02869,-0.10307,0.11484,one
1,-2.7066,3.4117,-2.8754,1.9857,-1.6628,1.8424,-1.3637,0.42606,one
1,-2.353,2.4976,-2.4142,2.2339,-1.3444,0.67856,-0.44324,0.18327,one
1,-2.2507,2.3851,-2.2547,1.5626,-0.48239,0.092599,0.043094,-0.061342,one
1,-3.042,4.6885,-5.234,4.6675,-3.2553,1.8656,-0.88881,0.23471,one
1,-3.3023,4.2409,-2.4388,0.95703,-1.9638,3.0647,-2.1092,0.56125,one
