1,2,3,4,5,6,7,y
1,-2.1807,1.7675,-1.147,1.2103,-0.83738,0.21725,one
1,-1.9304,1.3568,-1.0907,1.2258,-0.57891,0.050963,one
1,-2.6501,3.2894,-2.4516,0.7617,0.31155,-0.20672,one
1,-2.3482,2.4445,-2.22,1.8603,-0.90287,0.19931,one
1,-2.2542,2.3619,-2.1539,1.4594,-0.39789,0.024922,one
1,-2.9498,4.247,-4.174,3.008,-1.3593,0.26409,one
1,-3.1602,3.8991,-2.0014,-0.13413,0.58695,-0.18047,one
1,-2.0176,2.3446,-2.3567,1.7916,-0.90807,0.31424,one
1,-2.1432,2.2745,-1.7894,0.97461,-0.33658,0.12351,one
1,-2.0082,1.8727,-1.434,0.91419,-0.38926,0.14478,one
1,-2.4022,2.2162,-0.9768,0.26284,-0.17377,0.11773,one
1,-1.7435,1.0687,-0.90089,1.1096,-0.6635,0.19992,one
1,-2.7924,3.6445,-3.409,2.4915,-1.1386,0.21942,one
1,-3.3927,5.5452,-6,4.5305,-2.1116,0.44129,one
1,-2.9152,4.2896,-4.4761,3.2216,-1.3725,0.26746,one
1,-2.8411,3.9583,-3.8386,2.508,-0.83771,0.0628,one
1,-3.0202,4.4138,-4.4031,3.1488,-1.3362,0.22614,one
1,-1.7855,1.2128,-0.79093,0.23654,0.40509,-0.22409,one
1,-1.6001,0.9371,-0.54485,0.48644,-0.55003,0.38727,one
1,-1.0892,0.19977,-0.010855,0.062912,-0.40757,0.44719,one
1,-3.1403,4.5814,-3.9833,2.0482,-0.56312,0.081414,one
1,-2.5931,2.5985,-1.2359,0.14809,0.18399,-0.086017,one
1,-2.0101,1.679,-0.94781,0.40157,-0.23148,0.16344,one
1,-1.9489,1.5748,-0.81301,0.13576,0.046649,0.065971,one
1,-1.921,1.6248,-0.97383,0.25,-0.0063999,0.084309,one
1,-2.0647,1.7943,-0.92125,0.093787,0.12987,0.013006,one
1,-2.04,1.6641,-0.794,0.13379,0.093681,0.00098537,one
1,-2.0601,2.3136,-2.2249,1.9145,-1.4156,0.63052,one
1,-2.0641,2.3005,-1.9914,1.3795,-0.89554,0.43773,one
1,-2.4287,2.8585,-2.296,1.3088,-0.48773,0.13222,one
1,-1.1021,0.41352,-0.31091,0.48223,-0.17481,0.090773,one
1,-3.0977,3.7027,-1.8735,0.23101,-0.010877,0.079326,one
1,-2.2389,2.0035,-1.2105,0.61518,-0.047415,-0.10115,one
1,-1.7493,0.89127,-0.41428,0.52623,-0.37463,0.13908,one
1,-1.7419,0.93976,-0.45138,0.52655,-0.31689,0.065026,one
1,-2.3718,2.393,-1.33,0.33297,0.15351,-0.095321,one
1,-1.7486,0.50377,0.10897,1.043,-1.3588,0.4874,one
1,-2.0398,1.4039,-0.54323,0.59442,-0.58053,0.19927,one
