1,2,3,4,5,6,7,8,9,10,y
-0.93556,1.5353,0.041288,-0.55055,0.3578,0.80045,-0.81465,-1.3208,-0.67185,-0.1406,three
-0.90871,1.6016,-0.45989,0.37167,0.91679,0.45332,-1.1633,-1.5355,-0.48764,-0.074319,three
6.2392,-7.6056,-2.1461,3.4888,-0.46576,1.163,-0.9366,-0.16481,0.40774,-0.18714,three
-3.2896,0.84537,-0.76832,1.578,1.0963,-0.035747,0.094594,-0.53029,-0.40169,-0.0198,three
-15.0613,0,0,0,0,0,0,0,0,0,three
-8.9601,-0.64931,-0.17853,-0.67175,1.3939,1.2164,-1.1859,-0.28213,-0.42927,-0.25204,three
-8.7358,-0.49474,-0.39718,0.31003,1.3846,1.3648,-1.2236,-0.48046,-0.26275,-0.28661,three
-11.7547,0.49037,-1.029,0.26139,0.77772,0.35672,0.16426,-0.30666,-0.42068,-0.11441,three
-11.0015,0.81409,-1.046,-0.42315,0.31989,0.90465,0.25498,-0.55762,-0.37203,-0.088294,three
-11.8762,-0.054419,-0.94905,2.7426,-0.20486,-1.104,-0.42527,-0.61414,-0.47138,-0.2529,three
1.4459,1.9823,-1.5081,-0.83524,1.7255,-0.32823,-2.514,-0.93136,-0.11424,-0.17768,three
1.5202,1.8201,-0.99347,-0.16532,1.8332,-0.52736,-2.3909,-0.82608,-0.1128,-0.15578,three
-5.8207,-1.2685,-1.8625,1.4591,0.070988,-0.96967,-0.73531,-0.51638,-0.086388,-0.051808,three
5.3256,2.0619,0.30557,-0.2976,0.06393,-0.37651,-1.3134,-1.3889,-0.5471,-0.067996,three
-8.3018,1.7058,-0.86221,-0.25604,0.32644,-1.0708,-2.2537,-1.0997,0.025541,-0.045659,three
-2.7263,0.19736,0.67885,0.7885,0.52186,0.84776,-0.29376,-0.71461,-0.27781,-0.081493,three
-0.58349,0.4661,-1.7507,0.44292,0.31384,-0.52663,0.29395,-0.42012,-0.53124,-0.016396,three
-0.032718,0.56484,-1.9696,1.0452,0.58443,-0.73308,0.20827,-0.59251,-0.57197,-0.011807,three
-8.799,-0.12443,-1.8761,2.5932,1.9205,-0.20991,-0.60464,-0.34993,-0.28725,-0.11922,three
-7.8156,-0.12252,-1.1496,2.6503,1.0786,0.62918,-0.048802,-0.55306,-0.19175,-0.13374,three
-10.3522,0.48002,-1.6265,2.2584,1.5506,0.38886,-0.18628,-0.63324,-0.18656,-0.11137,three
-8.9821,0.69311,-1.4902,2.045,1.6643,0.016216,-0.62091,-0.69729,-0.32028,-0.11995,three
-1.0872,-0.38584,-1.7624,2.9128,-1.718,-0.62322,-0.05908,-1.4522,-0.0073226,-0.15633,three
-1.7988,0.053209,-1.7307,2.8388,-0.68061,-1.2186,0.0068156,-1.1866,-0.22024,-0.046394,three
-8.2132,-0.13944,-3.3974,1.5012,2.3166,-1.1666,-0.72914,0.0046592,-0.2968,-0.061227,three
-8.7648,-0.32202,-2.8227,1.5849,1.4593,-1.1367,-0.37389,0.03505,-0.14524,-0.081336,three
1.8692,0.84127,-3.791,2.9566,3.5148,-1.1402,-0.5799,0.21352,-0.60286,-0.28024,three
-4.8365,0.060364,-3.7401,1.2747,-0.27546,-0.70101,-0.066753,-1.2899,-0.098917,0.045712,three
-3.9112,0.54846,-3.4832,0.57325,-0.027829,-1.2402,-0.22425,-0.69698,-0.20472,0.073096,three
-11.03,1.2159,-0.84116,1.1347,0.64879,-0.2522,-0.13351,-1.0284,-0.84437,0.04206,three
2.8467,0.81855,0.067612,1.8747,1.5583,-0.5798,-0.77274,-0.40844,-0.61209,-0.24639,three
3.4234,-6.0989,2.2115,0.94652,3.6608,-3.0664,-3.6055,-0.15989,-0.17834,-0.33437,three
-0.76296,1.9084,-1.7737,-2.182,-0.73833,-0.32375,-1.1638,-0.52671,0.043888,-0.075041,three
0.0080748,1.9164,-2.0037,-2.5525,-0.94339,-0.40109,-0.47011,0.040911,0.13061,-0.051514,three
-3.7456,-0.0085468,-4.0379,1.0023,2.4851,-1.1009,-0.7553,-0.0017817,-0.64987,-0.10794,three
-3.9669,0.18349,-3.7052,0.72572,2.244,-1.0924,-0.64419,0.025634,-0.64448,-0.10364,three
1.008,-0.28176,-2.5503,2.7146,0.16014,-1.1618,-0.94618,-0.66678,-0.32304,-0.22763,three
