1,2,3,y
1,-1.7539,0.83981,one
1,-1.8048,0.90217,one
1,-1.8525,0.94309,one
1,-1.8446,0.91532,one
1,-1.9156,0.96859,one
1,-1.8617,0.88488,one
1,-1.8884,0.91286,one
1,-1.7552,0.7964,one
1,-1.8721,0.92822,one
1,-1.7939,0.90872,one
1,-1.8321,0.90379,one
1,-1.8249,0.92279,one
1,-1.7819,0.90438,one
1,-1.7881,0.89708,one
1,-1.9095,0.94809,one
1,-1.8323,0.9598,one
1,-1.7498,0.80165,one
1,-1.7506,0.81874,one
1,-1.4463,0.62387,one
1,-1.7976,0.87616,one
1,-1.8258,0.91638,one
1,-1.813,0.89993,one
1,-1.9282,0.94764,one
1,-1.7877,0.8755,one
1,-1.7944,0.86265,one
1,-1.1977,0.33159,one
1,-1.5176,0.51824,one
1,-1.6214,0.64397,one
1,-1.4842,0.52107,one
1,-1.6241,0.65964,one
1,-1.8157,0.86793,one
1,-1.8046,0.87941,one
1,-1.6335,0.80649,one
1,-1.709,0.78758,one
1,-1.4863,0.54495,one
1,-1.8097,0.90727,one
1,-1.812,0.907,one
1,-1.683,0.78307,one
1,-1.7666,0.87969,one
1,-1.8425,0.91041,one
1,-1.8883,0.93935,one
1,-1.8552,0.92098,one
1,-1.8141,0.87679,one
1,-1.8168,0.87444,one
1,-1.7035,0.77227,one
1,-1.8789,0.91853,one
1,-1.8789,0.91853,one
1,-1.822,0.92009,one
1,-1.8144,0.92359,one
1,-1.8868,0.89383,one
1,-1.484,0.50971,one
1,-1.7242,0.81267,one
1,-1.6374,0.78287,one
1,-1.7692,0.84973,one
1,-1.8598,0.96447,one
1,-1.8503,0.96193,one
1,-1.8708,0.9616,one
1,-1.7124,0.85337,one
1,-1.8001,0.84148,one
1,-1.8947,0.94369,one
1,-1.7369,0.86644,one
1,-1.4247,0.45342,one
1,-1.7393,0.80744,one
1,-1.6883,0.78959,one
1,-1.6473,0.75973,one
1,-1.6611,0.78114,one
1,-1.7425,0.81426,one
1,-1.6977,0.77626,one
1,-1.7003,0.78609,one
1,-1.5105,0.65608,one
1,-1.3484,0.48376,one
1,-1.8577,0.92901,one
1,-1.7568,0.81706,one
1,-1.7421,0.79678,one
1,-1.8714,0.93149,one
1,-1.9133,0.94653,one
1,-1.8883,0.91828,one
1,-1.8604,0.91019,one
1,-1.8828,0.91506,one
1,-1.8639,0.89369,one
1,-1.8653,0.88794,one
1,-1.9086,0.92625,one
1,-1.8986,0.95639,one
1,-1.8527,0.91249,one
1,-1.349,0.50828,one
1,-1.847,0.94253,one
1,-1.776,0.85325,one
1,-1.7645,0.85264,one
1,-1.5822,0.65313,one
1,-1.7369,0.78607,one
1,-1.7663,0.80796,one
1,-1.6698,0.78359,one
1,-1.0291,0.58926,one
1,-1.8772,0.92654,one
1,-1.9256,0.96221,one
1,-1.8601,0.89826,one
1,-1.9235,0.9619,one
1,-1.9,0.94706,one
1,-1.7767,0.83731,one
1,-1.5974,0.65403,one
1,-1.2754,0.60924,one
1,-1.7397,0.81577,one
1,-1.7423,0.80761,one
1,-1.8182,0.89151,one
1,-1.8587,0.90322,one
1,-1.6726,0.75118,one
1,-1.6496,0.69685,one
1,-1.6572,0.80595,one
1,-1.6344,0.74612,one
1,-1.6893,0.78397,one
1,-1.7628,0.85379,one
1,-1.5208,0.73784,one
1,-1.7424,0.83184,one
1,-1.8229,0.90494,one
1,-1.4688,0.47664,one
1,-1.8096,0.83989,one
1,-1.8414,0.85178,one
1,-1.8126,0.82833,one
1,-0.80282,-0.17319,one
1,-1.8609,0.87187,one
1,-1.627,0.86897,one
1,-1.7987,0.84539,one
1,-1.3523,0.59756,one
1,-1.3133,0.5918,one
1,-1.0799,0.52652,one
1,-1.7761,0.80296,one
1,-1.7786,0.80392,one
1,-1.9021,0.95729,one
1,-1.8927,0.95248,one
1,-1.9159,0.96467,one
1,-1.8914,0.95345,one
1,-1.4891,0.53959,one
1,-1.7954,0.86613,one
1,-1.814,0.98289,one
1,-1.7307,0.85558,one
1,-1.8216,0.92026,one
1,-1.6584,0.83591,one
1,-1.7361,0.90238,one
1,-1.7028,0.85505,one
1,-1.6479,0.84132,one
1,-1.5972,0.75225,one
1,-1.8375,0.89479,one
1,-1.7782,0.83811,one
1,-1.6479,0.70309,one
1,-1.8167,0.87822,one
1,-1.8722,0.92138,one
1,-1.6983,0.73001,one
1,-1.84,0.887,one
1,-1.832,0.8741,one
1,-1.8949,0.94119,one
1,-1.9194,0.95581,one
1,-1.0951,0.68265,one
1,-1.4184,0.66803,one
1,-1.0521,0.74015,one
1,-1.8972,0.94214,one
1,-1.6892,0.76153,one
1,-1.4634,0.54854,one
1,-1.6884,0.76958,one
1,-1.6897,0.78682,one
1,-0.85221,-0.0051492,one
1,-1.9098,0.94875,one
1,-1.8765,0.9216,one
1,-1.841,0.88828,one
1,-1.6751,0.78623,one
1,-1.692,0.87411,one
1,-1.925,0.92568,one
1,-1.9511,0.95411,one
1,-1.9323,0.94063,one
1,-1.7416,0.8292,one
1,-1.7851,0.85938,one
1,-1.8355,0.85918,one
1,-1.8751,0.90181,one
1,-1.8802,0.89735,one
1,-1.8536,0.87244,one
1,-1.6989,0.7263,one
1,-1.895,0.96301,one
1,-1.8907,0.95395,one
1,-1.6986,0.80526,one
1,-1.8625,0.89759,one
1,-1.9021,0.92771,one
1,-1.7965,0.85231,one
1,-1.843,0.91822,one
1,-1.8247,0.88664,one
1,-1.7294,0.78209,one
1,-1.7022,0.75814,one
1,-1.6572,0.7403,one
1,-1.6379,0.73709,one
1,-1.8686,0.92428,one
1,-1.0654,0.28142,one
1,-1.6957,0.80145,one
1,-1.8376,0.92872,one
1,-1.8422,0.933,one
1,-1.8595,0.95051,one
1,-1.6782,0.77753,one
1,-1.7312,0.80775,one
1,-1.5249,0.70669,one
1,-1.7647,0.78428,one
1,-1.7628,0.79897,one
1,-1.3271,0.63029,one
1,-1.6983,0.77105,one
1,-1.8153,0.8666,one
1,-1.5945,0.7391,one
1,-1.4327,0.58829,one
1,-1.25,0.38099,one
1,-1.6838,0.75726,one
1,-1.72,0.80216,one
1,-1.6223,0.70615,one
1,-1.7349,0.80536,one
1,-1.5971,0.70478,one
1,-1.8516,0.88647,one
1,-1.6004,0.63089,one
1,-1.4652,0.60656,one
1,-1.6909,0.82984,one
1,-1.6928,0.83783,one
1,-1.722,0.78467,one
1,-1.7207,0.80953,one
1,-1.1441,0.2951,one
1,-1.3103,0.42771,one
1,-1.2415,0.35656,one
1,-1.6735,0.69579,one
1,-1.8362,0.8663,one
1,-1.6782,0.69685,one
1,-1.3034,0.34487,one
1,-1.7967,0.8149,one
1,-1.8995,0.9484,one
1,-1.8371,0.89201,one
1,-1.6504,0.77415,one
1,-1.628,0.63797,one
1,-1.589,0.5996,one
1,-1.7647,0.79014,one
1,-1.7801,0.91378,one
1,-1.7955,0.90438,one
1,-1.7917,0.90108,one
1,-1.8505,0.92244,one
1,-1.7817,0.90497,one
1,-1.7849,0.84354,one
1,-1.5652,0.67213,one
1,-1.373,0.5527,one
1,-1.5588,0.67505,one
1,-1.6562,0.76413,one
1,-1.6001,0.70409,one
1,-1.8284,0.85807,one
1,-1.6422,0.79952,one
